status,confirmed,last_contacted,retailer,license,city,contact,phone,email,delivery,notes,price_points,pipeline_code,pipeline_label,region,completeness_score,price_tier
,true,2025-03-17,A Greener Today Marijuana,422044,Bothell,Sean,425-419-4161,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",,I4,I4 - Samples sent,Seattle Metro,5,unknown
,true,2025-10-13,A Greener Today Marijuana - Shoreline,414814,Shoreline,Kenny Du,206-801-7756,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"10.13.25 - Emailed Kenny at A Greener Today to see if I can lock in a meeting next week. 

Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",,I4,I4 - Samples sent,Seattle Metro,5,unknown
,true,2025-03-19,A Greener Today Marijuana - Lynnwood,422109,Lynnwood,Sean,425-678-8106,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",,I4,I4 - Samples sent,Seattle Metro,5,unknown
,true,2025-03-17,A Greener Today Marijuana - Seattle,414441,Seattle,Kenny Du,206-687-7877,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",,I4,I4 - Samples sent,Seattle Metro,5,unknown
,true,2025-03-17,A Greener Today Marijuana - Gold Bar,422168,Gold Bar,Sean - Buyer,360-217-8905,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",,I4,I4 - Samples sent,Seattle Metro,5,unknown
Active,true,2025-03-17,A Greener Today - Walla Walla,426039,Walla Walla,Sean,509-876-8660,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",,R2,R2 - Active but stale (>90 days),Eastern WA,5,unknown
,true,2025-02-10,Green Leaf Bellingham (ABC AGENCY LLC ),413886,Bellingham,Eric is the buyer - inventory@abcagencyllc.com,,inventory@abcagencyllc.com,,This is the second location to Birch Bay Budz - Emailed Eric to give him updated account information 02.10.25,,I2,I2 - Contacted/has notes,NW Washington,4,unknown
low chance,true,2025-03-30,ACCESS CANIBUS LLC,422765,Valley,Raeyne is the buyer,(509) 937-4900,accesscanibus@gmail.com,,"Had a great conversation with Raeyne today, I am putting together a small starter order for her to approve and gave her 420 pricing on the 3.5gs. Then her pricing will be in the $9 price point. 03.30.25 NC  she emailed me back saying the owners would not approve the order and are not looking for any new vendors at this time 03.30.25 NC",$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/ - all concentrates $8.00,I2,"I2 - Prospect, has notes",Other/Unclassified,6,standard
,true,2025-02-26,Agate Dreams,420278,Poulsbo,Robert Adams -Buyer - Cell # 360-516-2856,360-598-1315,robertadams@tokemcannabis.com Invoices@agatedreams.com,,Emailed Robert to see about getting some orders going. New Menu and contact infomration. - WL,,I5,I5 - Near order / has ordered,Peninsula/Islands,5,unknown
,true,2025-02-21,Alkaloid Cannabis - this retailer is now green nugget mead location,420497,Spokane,Tyler,(509) 465-1197,purchasing@alkaloidmj.com,,"Sent an email to Tyler with new contact, menu nd updates. Will work on samples and follow up asap - WL",,I4,I4 - Samples sent,Eastern WA,5,unknown
Active,true,2025-09-19,ALTITUDE,414225,Prosser,Maricruz is the buyer - Rachelle.f is the GM,509-786-4200 - store,purchasing.altitudemj@gmail.com,,Emailed Maricruz with account manager contacts 02.07.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,R2,R2 - Active but stale (>90 days),Eastern WA,6,premium
,true,2025-02-28,AMERICAN HARVEST,422954,Peshastin,Kyle is the buyer,(509) 470-9449,info@americanharvestcannabis.com,,"Talked to a budtender who gave me the updated contact info, I will email Kyle a request to send samples 02.28.25",,I4,I4 - Samples sent,Other/Unclassified,5,unknown
Active,true,2025-09-19,AMERICAN MARY 45th Wallington,410332,Seattle,Tony is the buyer,(206) 547-7833 - store,wallingford@americanmarywa.com,,"Emailed Tony about some samples that I woud like to send over, he placed an order and I will send those samples. NC 06.09.25",$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/,R2,R2 - Active but stale (>90 days),Seattle Metro,6,standard
,true,2025-06-09,AMERICAN MARY CANNABIS  Ballard,420292,Seattle,Tony is the buyer,(206) 535-7209 - store,Ballard@americanmarywa.com,,"Talked to a budtender who confirmed that the buyer contacts are still the same 02.14.25, I emailed over my contact info 02.14.25",$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/,I2,I2 - Contacted/has notes,Seattle Metro,6,standard
,true,2025-02-21,Anacortes Cannabis,421652,Anacortes,,(360) 588 - 6222,anacortesnaturalmedicine@gmail.com,,"Sent an itro email with updates, menu. - WL",,I2,I2 - Contacted/has notes,NW Washington,4,unknown
Active,true,2025-02-12,APEX CANNABIS,421110,Moses Lake,Amarae Hagood is the manager,(509) 765-4216,Nikala@kush21.com Michelle@kush21.com,https://apexcannabis.simplybook.me/v2/).,,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/  All budlets $22.50 14gs and $45 28g,R2,R2 - Active but stale (>90 days),Central WA,6,standard
,true,2025-02-12,APEX CANNABIS,422447,Otis Orchards,Nikki and Michelle are the buyer,(509) 922-9235,Nikala@kush21.com Michelle@kush21.com,https://apexcannabis.simplybook.me/v2/).,,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/  All budlets $22.50 14gs and $45 28g,I2,I2 - Contacted/has notes,Other/Unclassified,6,standard
,true,2025-02-12,APEX CANNABIS,425767,Spokane,Nikki and Michelle are the buyer,(509) 443-4654,Nikala@kush21.com Michelle@kush21.com,https://apexcannabis.simplybook.me/v2/).,,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/  All budlets $22.50 14gs and $45 28g,I2,I2 - Contacted/has notes,Eastern WA,6,standard
,true,2025-02-13,APEX Market ST CANNABIS (used to be Kush 21 Spokane),422992,Spokane,Rylan Parmenter - store manager,360.966.6466,Manager's email: marketstreet@apexcannabis.com  Inventory's Email:  marketstreetinventory@apexcannabis.com,https://apexcannabis.simplybook.me/v2/).,,$2.50 1g/ $8.00- 3.5g/ $32 - 14g/ $64-28g/ $8 on all concentrates All budlets $22.50 14gs and $45 28g,I2,I2 - Contacted/has notes,Eastern WA,6,unknown
,true,2025-02-13,Apex Cannabis Pullman (Kush 21 Pullman NSK CANNABIS),425584,Pullman,"Maria Sanchez is the buyer/Store Manager, Meghan Henry is the Inventory Manager",(509) 339-7071 - Store. Meghan cell # (512) 970-7367  Maria Cell # (509)306-8950 Best way to get ahold of her,pullman@kush21.com,https://apexcannabis.simplybook.me/v2/).,Talked to Meghan and she gave me all the updated information  - store manager/buyer and inventory manager - she said cell #s are the best way to get ahold of them if I need something. 02.13.25,$2.50 1g/ $8.00- 3.5g/ $32 - 14g/ $64-28g/ $8 on all concentrates All budlets $22.50 14gs and $45 28g,I2,I2 - Contacted/has notes,Eastern WA,7,unknown
,false,2025-03-04,B STREET BUD,414558,Grand Coulee,,(509) 592-9334,,,called but no one answered the phone 03.04.25,,I2,"I2 - Unconfirmed, some contact",Eastern WA,3,unknown
Active,true,2025-05-21,BAYSHORE CANNABIS CO,415127,Shelton,Dan Rivera is the buyer -Personal Cell #   360-972-5540 Olivia is another buyer,(360) 426-0675,buyer@bayshorecannabis.com,"DELIVERY TIMES: TUESDAY-THURSDAY, 12 PM - 5 PM",Eamailed Dan with an offer to put everything on sale to get it out of the store and lowered his pricing to $8 for all 4 stores - we also offered to send buybacks on a regular basis for the crew and trade samples. NC,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/,R2,R2 - Active but stale (>90 days),South Sound,7,standard
,true,2025-05-21,BELFAIR CANNABIS COMPANY,422298,Belfair,Dan Rivera is the buyer -Personal Cell #   360-972-5540 Olivia is another buyer,(360) 277-4236,buyer@bayshorecannabis.com,"DELIVERY TIMES: TUESDAY-THURSDAY, 12 PM - 5 PM",Eamailed Dan with an offer to put everything on sale to get it out of the store and lowered his pricing to $8 for all 4 stores - we also offered to send buybacks on a regular basis for the crew and trade samples. NC,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/,I4,I4 - Samples sent,Other/Unclassified,7,standard
Active,true,2025-05-06,BETTER BUDS,430175,Longview,"Sean is the buyer, John is the owner",(360) 703-3791,betterbudslongview@gmail.com,,Talked Sean about adding Greenline to the 10% off right now along with Fireline Sundays. He is thrilled to make this happen. NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline,R2,R2 - Active but stale (>90 days),SW Washington,6,premium
,true,2025-03-12,BETTER BUDS,422525,Port Angeles,Keith,,betterbuds7@gmail.com,,"Sent an email to the team with new contact, menu nd updates. Will work on samples and follow up asap - WL",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline,I4,I4 - Samples sent,Peninsula/Islands,5,premium
,true,2025-03-12,BETTER BUDS,421709,Port Hadlock,Seth,,betterbuds7@gmail.com,,"Sent an email to the team with new contact, menu nd updates. Will work on samples and follow up asap - WL",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline,I4,I4 - Samples sent,Other/Unclassified,5,premium
,true,2025-03-12,BETTER BUDS,425965,Silverdale,Shawn,,betterbuds7@gmail.com,,"Sent an email to the team with new contact, menu nd updates. Will work on samples and follow up asap - WL",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline,I4,I4 - Samples sent,Peninsula/Islands,5,premium
,true,2025-05-19,BIRCH BAY BUDZ,429761,Blaine,Eric is the buyer,(360) 506-7117,Sales@birchbaybud.com,,Reached out to Eric about possilby doing a blow out sale and putting everything 40% off to get it out. We would credit the discount and hopefully get him new product in both stores 05.19.25 NC,$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/,I2,I2 - Contacted/has notes,NW Washington,6,standard
,true,2025-03-04,BLOWIN SMOKE,422202,Chewelah,,(509) 935-7420 - this phone number is disconnected,herbalescents@gmail.com,,The phone number in google is disconnected 03.04.25,,I2,I2 - Contacted/has notes,Eastern WA,4,unknown
Active,true,2025-06-10,BORED N BUZZED,436428,Kirkland,Jeff Meyer,,Boredandbuzzedjeff@gmail.com,,This used to be the old Starbuds Kirkland 03.04.25 - first order placed 06.10.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/,R2,R2 - Active but stale (>90 days),Seattle Metro,5,premium
,true,2025-03-12,BUD BARN,421335,Olympia,Jeff,(360) 515-0258,vendors@budbarnyelm.net,,"Sent an email to Jeff with new contact, menu nd updates. Will work on samples and follow up asap - WL",,I4,I4 - Samples sent,South Sound,5,unknown
,true,2025-03-12,BUD BARN,428005,Yelm,Jeff,(360) 960-1220,vendors@budbarnyelm.net,,"Sent an email to Jeff with new contact, menu nd updates. Will work on samples and follow up asap - WL",,I4,I4 - Samples sent,South Sound,5,unknown
,true,2025-06-19,BUD COMMANDER,413802,Tumwater,Jake is the buyer,(360) 688-1709,Ibuy@budcommander.com,,Talked to the budtender who gave me the updated contact info for the store and would love some samples 03.04.25 - offered to do 40% off blow out sale to get the first order out of the store and credit for another order with lowered pricing. NC 06.19.25,$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/,I5,I5 - Near order / has ordered,South Sound,6,standard
,true,2025-03-04,BUDEEZ,420661,Bremerton,,(360) 627-7674,Budeez.Orders@gmail.com,,"Called but no one answered, try back  03.04.25",,I2,I2 - Contacted/has notes,Peninsula/Islands,4,unknown
,true,2025-03-04,Bud Hut Friday Harbor - LAWRENCE ENTERPRISES,422332,Friday Harbor,Ian Carnell is the buyer,(360) 317-1417,Ian@budhut.net,,"Called and got the new buyer information, they would love samples so I will get those ready and scheudeld for delivery 03.04.25 - being delivered 03.07.25",,I4,I4 - Samples sent,NW Washington,5,unknown
Active,true,2025-06-04,BUDHUT,413901,Camano Island,Kimberly is the buyer,360.629.3480,kimberly@budhut.net,,Emailed Kimberly with new account manager information 02.10.25,$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/,R2,R2 - Active but stale (>90 days),NW Washington,6,standard
Active,true,2025-06-04,BUDHUT,415504,Everett,Heather is the buyer,425.353.1449,heather@budhut.net,,"Emailed Beth with the updated contact info since she is acting GM for all bud hut locations and will touch base with each account seperately! - Emailed Heather my updated contact info 02.11.25 Heather is sweet, she has followed us since 2016 - she loves the skatalite - she would love more educational stuff and tons of vendor days when we start offering that.",$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/,R2,R2 - Active but stale (>90 days),Seattle Metro,6,standard
,true,2025-06-04,BUDHUT,410831,Maple Valley,Misty is the buyer Bryce is the store manager,425.584.7435,misty@budhut.net Bryce@budnut.net   ACCOUNTANT@BUDHUT.NET,Delivery hours are M-F 7:30-4  No deliveries the first week of every month,"Called and talked to Matt a budender who confirmed the buyer info and gave me the store manager info as well. When emailing them, please include both people 02.14.25 Emailed with my updated contact info 02.14.25",$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/,I2,I2 - Contacted/has notes,Seattle Metro,7,standard
Active,true,2025-06-04,BUDS GARAGE - no friday deliveries,437604,Everett,Bo Lamb is the buyer,(425) 321-7740,icc@budsgarage.com,,Reacheed out to Bo about how the product is sellng and if they are interested in a possibly vendor day. Reached out to Bo to schedule a vendor day asap 02.12.25 We are in communication with scheduling a vendor day right now 02.14.25 - Check in every 2 weeks and get a inventory list to see what they have and if they need a restock. 06.18.25,$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/  - all concentrates $8.00,R2,R2 - Active but stale (>90 days),Seattle Metro,6,standard
,true,2025-02-23,CANNA WEST SEATTLE,420666,Seattle,Amir is the buyer,,amir@cannaws.com,,"Sent an email to Amir with new contact, menu nd updates. Will work on samples and follow up asap - WL",,I4,I4 - Samples sent,Seattle Metro,4,unknown
,true,2025-03-04,CANNA4LIFE,414211,Clarkston,Veronica is the Buyer and General Manager,(509) 295-8218,"robincanna4life@gmail.com
veronicacanna4life@gmail.com dave@canna4life@gmail.com",,sent samples 01.24.25 - I am trying to get feedback from Veronica about how the samples are and if can get an order going very soon. Reached out to Veronica with price pt adjustment  and sample feedback. 02.12.25 Followed up with current menu. - WL,$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/  - all concentrates $8.00,I5,I5 - Near order / has ordered,Eastern WA,6,standard
,true,2025-02-25,CANNABIS 21 Aberdeen,415567,Aberdeen,Adam is the buyer,(360)637-9282,Adam@cannabis21.com,,Sent Adam an email with menus and contact information. Will work to get him on the phone today. - WL,,I2,I2 - Contacted/has notes,Peninsula/Islands,5,unknown
,true,2025-02-25,CANNABIS 21 Hoquiam,353993,Hoquiam,Adam is the buyer,(360)612-3817,Adam@cannabis21.com,,Sent Adam an email with menus and contact information. Will work to get him on the phone today. - WL,,I2,I2 - Contacted/has notes,Peninsula/Islands,5,unknown
,true,2025-02-25,CANNABIS 21 Ocean Shores,414712,Hoquiam,Adam is the buyer,(360)289-0170,Adam@cannabis21.com,,Sent Adam an email with menus and contact information. Will work to get him on the phone today. - WL,,I2,I2 - Contacted/has notes,Peninsula/Islands,5,unknown
Temp Closed,true,2025-03-04,Cannabis City,412751,Seattle,ALAN,206-420-4206,buyer@cannabis.city,,last order -10.26.20 - got updated buyer information - 11.16.22,,R1,R1 - Temp Closed,Seattle Metro,5,unknown
,false,2025-02-25,CANNABIS COAST FORKS,430237,Forks,,,cancoastforks@gmail.com,,,,I2,"I2 - Unconfirmed, some contact",Peninsula/Islands,2,unknown
,true,2025-03-05,CANNABIS COUNTRY STORE,414970,Battle Ground,Emy,360.723.0073,emy@c4uwa.com,,"Reached out to see if we could send samples, Emy said yes so we are sending samples now 03.5.25 CCSreceiving@c4uwa.com  for manifests",,I4,I4 - Samples sent,SW Washington,5,unknown
,true,2025-03-12,CANNABIS PROVISIONS EAST,423542,Wenatchee,Dzung Nguyen,,cannabisprovisionsinc@gmail.com,,last ordered 7.30.20,,I5,I5 - Near order / has ordered,Central WA,4,unknown
,true,2025-03-12,CANNABIS PROVISIONS INC.,425585,Shoreline,Josh is he buyer,206-629-5235,Josh is he buyer - cannabisprovisionsinc@gmail.com CannaProcurement@gmail.com,,Emailed Josh a sample request and my updated my account manager contact information 02.10.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,I4 - Samples sent,Seattle Metro,6,premium
,true,,CANNABIS SUPER STORE,402780,Cle Elum,Beata Crombie is the buyer,509.674.5356,sales@mycannabissuperstore.com  scott@mycannabissuperstore.com,,Emailed that we are sending samples,,I4,I4 - Samples sent,Central WA,4,unknown
,false,,CANNABIZ,87932,Puyallup,,,,,,,I1,I1 - Unconfirmed cold lead,South Sound,0,unknown
Low likelihood,true,2025-02-26,CANNABLYSS,415575,Lake Stevens,Lisa is the buyer,(425) 327-7529,cannablysslakestevens@gmail.com,,called Lisa she said they still have product and are not interested in ordering more. will not lower pricing not interested in a vendor day. They can not compete with The Vault locations,,I2,"I2 - Prospect, has notes",Seattle Metro,5,unknown
Prospect,true,2025-03-30,CANNARAIL STATION,413366,Ephrata,April is the buyer -,(509) 754-1047,DSMC@conversionc.net,,Talked to a lovely budtender who confirmed the buyer and email - we are sending samples right away. 02.26.25 - they are not taking any new clients right not but would like another round of samples in 3 months. NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I4,"I4 - Prospect, samples sent",Eastern WA,6,premium
,false,2025-10-10,Cannazone Burlington FOXX ENTERPRISES LLC,436898,Burlington,,,,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals.",,I2,"I2 - Unconfirmed, some contact",NW Washington,2,unknown
Active,true,2025-10-10,CANNAZONE,421813,Bellingham,Fouad is the buyer/Owner,,cannazonebellingham@gmail.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20",R2,R2 - Active but stale (>90 days),NW Washington,5,premium
Active,true,2025-10-10,CANNAZONE,420477,Edmonds,Fouad is the buyer/Owner,,cannazoneedmonds@gmail.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20",R2,R2 - Active but stale (>90 days),Seattle Metro,5,premium
