account,city,pipeline_code,action_type,priority_rank,recommended_action,contact_info
CANNAZONE,Bellingham,R2,At-Risk Active,21,"R2 - Active but stale (>90 days). Last contact: 148 days ago. 10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Th",cannazonebellingham@gmail.com
CANNAZONE,Edmonds,R2,At-Risk Active,22,"R2 - Active but stale (>90 days). Last contact: 148 days ago. 10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Th",cannazoneedmonds@gmail.com
Northwest Cannabis,Mount Vernon,R2,At-Risk Active,23,"R2 - Active but stale (>90 days). Last contact: 148 days ago. 10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Th",nwdispensary@gmail.com
CASCADE KROPZ,Arlington,R2,At-Risk Active,24,"R2 - Active but stale (>90 days). Last contact: 394 days ago. I talked with Jim, he would like to start  a hometown box with 4 of our strains ",cascadekropzorders@gmail.com / Call his cell before you call the store 425-232-8054
Clear Choice Cannabis  72nd,Tacoma,R2,At-Risk Active,25,R2 - Active but stale (>90 days). Last contact: 394 days ago. Likes to commuicate via text message - Called and talked to Blaine today who let,kathleen.r@findclearchoice.com / 253-999-7690 - Blaine's cell number
CLEAR CHOICE CANNABIS,Bremerton,R2,At-Risk Active,26,"R2 - Active but stale (>90 days). Last contact: 278 days ago. Emailed Geo with a mock order and he approved, order is being delivered 03.03.25",geoarmani.l@findclearchoice.com / 253-444-5444 -
CLEAR CHOICE CANNABIS,Tacoma,R2,At-Risk Active,27,"R2 - Active but stale (>90 days). Last contact: 278 days ago. Emailed Kathleen a thank you for your order email, gave updated contact info, pu",kathleen.r@findclearchoice.com / 253-444-5444 -
Danks Warehouse,Tacoma,R2,At-Risk Active,28,R2 - Active but stale (>90 days). Last contact: 351 days ago. I offered to do VMI if they can send me there inventory weekly and as a perk I w,dankswarehousetacoma@gmail.com / (253) 503-1411
DANK'S Warehouse,Edmonds,R2,At-Risk Active,29,R2 - Active but stale (>90 days). Last contact: 374 days ago. Ashley does not work on Wednesdays - Emailed Ashley giving her my updated contac,dankswarehouse@gmail.com  https://danksedmonds.youcanbook.me / (425) 670-0690
Danks Warehouse Renton,Renton,R2,At-Risk Active,30,R2 - Active but stale (>90 days). Last contact: Never. ,Dankswarehouserenton@gmail.com https://dankswarehouserenton.youcanbook.me/ / 206-327-1679
DIAMOND GREEN,Tacoma,R2,At-Risk Active,31,R2 - Active but stale (>90 days). Last contact: 390 days ago. Emailed Heather with my contact info 02.10.25 Called and talked to a budtender w,diamondgreentacoma@gmail.com / 253-301-3148
Elevation  (MJ Compact Retail Location),Shelton,R2,At-Risk Active,32,R2 - Active but stale (>90 days). Last contact: Never. ,cannabis@high-elevation.com   jedwards@high-elevation.com / (360) 462-4025
Emerald Coast,Bremerton,R2,At-Risk Active,33,"R2 - Active but stale (>90 days). Last contact: 387 days ago. Dawn called and said she met us at the safety meeting, she wants a order expedit",ecc.brem@gmail.com
FILLABONG,Bremerton,R2,At-Risk Active,34,R2 - Active but stale (>90 days). Last contact: 388 days ago. Emailed Karla with my new contact info and got confirmation on her contact info ,fillabongorders@gmail.com / 360-440-4003 - Karla cell phone
FILLABONG,Silverdale,R2,At-Risk Active,35,R2 - Active but stale (>90 days). Last contact: 388 days ago. Emailed Karla with my new contact info and got confirmation on her contact info ,fillabongorders@gmail.com / 360-440-4003 - Karla cell phone
FIRE AND FROST CANNABIS,Vancouver,R2,At-Risk Active,36,R2 - Active but stale (>90 days). Last contact: 389 days ago. Reached out with new account manager information 02.11.25 Talked to Riley who ga,nyssa@fireandfrostcannabis.com kyla@fireandfrostcannabis.com Riley@fireandfrostcannabis.com / (360) 213-1011
FLOYD'S CANNABIS COMPANY,Pullman,R2,At-Risk Active,37,R2 - Active but stale (>90 days). Last contact: 270 days ago. Reached out to see if we can get a restock of products. 06.10.25,pullman@floydscannabis.co     https://floydspullman.youcanbook.me/   Eric@floydscannabis.co is regional manager/buyer / (509) 872-3080
FLOYDS Sedro Woolley,Sedro Woolley,R2,At-Risk Active,38,R2 - Active but stale (>90 days). Last contact: 270 days ago. Offered 420 special deals and Greenline - NC,floydscannabisco@gmail.com   floydssedrowoolley.youcanbook.me  Eric@floydscannabis.co is regional manager/buyer / (360) 588-4473
GOLDEN DISPENSARIES,Goldendale,R2,At-Risk Active,39,R2 - Active but stale (>90 days). Last contact: 390 days ago. Called and talked to Austin who stated he is placing an order - looking for diam,Austin@goldendispensary.com inventory@goldendispensary.com / (509) 773-0700
GREEN LIFE CANNABIS,Wenatchee,R2,At-Risk Active,40,R2 - Active but stale (>90 days). Last contact: 289 days ago. They are going to do a daily deals for us one day a week with the new pricing an,buyer@greenlifecannabis.com / (509) 663-9980
GREEN ROOM OH INC.,Oak Harbor,R2,At-Risk Active,41,R2 - Active but stale (>90 days). Last contact: 394 days ago. Called and talked to Simon who is the owner - I emaied them my updated contact i,kelley@thegreenroomwa.com / 206-504-8629 -Simon's Cell  (360) 682-5755 - the store
GREENFIELD COMPANY CANNABIS MERCANTILE,Clarkston,R2,At-Risk Active,42,R2 - Active but stale (>90 days). Last contact: 165 days ago. placed an order on cultivera 09.23.25,satoricat@live.com
GREENLIGHT,Millwood,R2,At-Risk Active,43,R2 - Active but stale (>90 days). Last contact: 379 days ago. Emailed them with our new contact info and asked if they would like a restock. T,Carli@greenlightspokane.com colton@greenlightspokane.com / (509) 309-3193 - Colton cell # 509-209-6381
GREENVIEW CANNABIS,Longview,R2,At-Risk Active,44,R2 - Active but stale (>90 days). Last contact: 387 days ago. Shawn is the buyer for this location and Marijuana Mart Rochester  and the email,shawn@marijuanamartwa.com / (360) 353-5445
GREENWAY MARIJUANA,Port Orchard,R2,At-Risk Active,45,R2 - Active but stale (>90 days). Last contact: 276 days ago. Emailed Stephen with my updated contact info informing him that Cassandra is no ,stephen@greenwaymarijuana.com / 360-443-6988    360-621-7977
GREENWORKS N.W.,Seattle,R2,At-Risk Active,46,"R2 - Active but stale (>90 days). Last contact: 376 days ago. Emailed them asking about a restock, they said they would put in a order soon, j",Greenworkspurchasing@gmail.com / (206) 492-5132
HANGAR 420 HWY 99,Lynnwood,R2,At-Risk Active,47,R2 - Active but stale (>90 days). Last contact: 255 days ago. Offered 420 special deals and Greenline - NC,pat@hangar420snohomish.com / (425) 361-1592
HANGAR 420 SNOHOMISH,Snohomish,R2,At-Risk Active,48,R2 - Active but stale (>90 days). Last contact: 250 days ago. Emailed Pat with account manager contact info and a restock 02.07.25. Talked to ,pat@hangar420snohomish.com / (360) 217-8648
Hangar 420 Clearview,Lynnwood,R1,At-Risk Active,49,R1 - Temp Closed. Last contact: 250 days ago. Emailed on behalf of Pat to the city of Clearview,pat@hangar420snohomish.com
HERBAL NATION,Bothell,R2,At-Risk Active,50,R2 - Active but stale (>90 days). Last contact: 366 days ago. Mitchell said he will place an order of blunts and flower today - talked to a bu,1herbalnation@gmail.com / Store - (425) 486-1111.    Cell # 425-318-2977
HERBAN MARKET,Port Orchard,R2,At-Risk Active,51,R2 - Active but stale (>90 days). Last contact: 339 days ago. Offered 420 special deals and Greenline - NC,herbanmarketlee@gmail.com / (360) 443-2859
HIGH-5 CANNABIS,Vancouver,R2,At-Risk Active,52,R2 - Active but stale (>90 days). Last contact: 270 days ago. Reached out to Nathon to see how the sale is going and let him know we are excit,orders@high5cannabis.com  nathon@high5cannabis.com / (360) 947-5404
High 5 Cannabis,Stevenson,R2,At-Risk Active,53,R2 - Active but stale (>90 days). Last contact: 270 days ago. Reached out to Nathon to see how the sale is going and let him know we are excit,orders@high5cannabis.com  nathon@high5cannabis.com / (509) 219-5038
HIGH SOCIETY,Everett,R2,At-Risk Active,54,"R2 - Active but stale (>90 days). Last contact: 366 days ago. Emailed Savannah for a restock, tried calling but no one answered the phone 03.0",highsocietyeverett@gmail.com / 425-374-3772   206-225-9531
Higher Leaf Bel - Red - Require 48hrs notice for before delivery,Bellevue,R2,At-Risk Active,55,R2 - Active but stale (>90 days). Last contact: 148 days ago. 10.10.25 - RM spoke to Jacob and he said he would be open to meeting and looking,jacob@higherleaf.com  invoices-gtbelred@higherleaf.com / 425-455-0965
Higher Leaf Factoria,Bellevue,R2,At-Risk Active,56,"R2 - Active but stale (>90 days). Last contact: 369 days ago. Gab was fired. Jacob is the buyer, I talked with him and he told me after 2-3 ba",jacob@higherleaf.com invoices-gtfactoria@higherleaf.com / 425-502-7033
Higher leaf Eastside,Bellevue,R2,At-Risk Active,57,"R2 - Active but stale (>90 days). Last contact: 369 days ago. Gab was fired. Jacob is the buyer, I talked with him and he told me after 2-3 ba",jacob@higherleaf.com  invoices-bellevue@higherleaf.com / 425-747-5967
Higher leaf - Kirkland,Kirkland,R2,At-Risk Active,58,"R2 - Active but stale (>90 days). Last contact: 369 days ago. Gab was fired. Jacob is the buyer, I talked with him and he told me after 2-3 ba",jacob@higherleaf.com invoice@higherleaf.com / 425-820-5967
III KING COMPANY,Seattle,R2,At-Risk Active,59,R2 - Active but stale (>90 days). Last contact: 304 days ago. Reached out to Rosie to see what we can do to get back in the store 03.04.25,iiikingseattle@gmail.com / (206) 453-3445
KALEAFA,Aberdeen,R2,At-Risk Active,60,R2 - Active but stale (>90 days). Last contact: 352 days ago. David emailed me with all the updated store contacts.  as I did the same 02.10.2,Aberdeenvendors@kaleafa.com Cassie@Kaleafa.com / (360) 637-8018
KALEAFA,Des Moines,R2,At-Risk Active,61,R2 - Active but stale (>90 days). Last contact: 352 days ago. David emailed me with all the updated store contacts.  as I did the same 02.10.2,david@kaleafa.com desmoinesvendors@kaleafa.com / (206) 460-0503
KALEAFA,Oak Harbor,R2,At-Risk Active,62,R2 - Active but stale (>90 days). Last contact: 352 days ago. David emailed me with all the updated store contacts.  as I did the same 02.10.2,sean@kaleafa.com / (360) 682-2420
KITSAP CANNABIS PORT ORCHARD,Port Orchard,R2,At-Risk Active,63,R2 - Active but stale (>90 days). Last contact: 376 days ago. This is Jose's account,therealkitsapcannabis@gmail.com / (360) 443-2030
KUSH 21 BUCKLEY LLC,Buckley,R2,At-Risk Active,64,"R2 - Active but stale (>90 days). Last contact: 170 days ago. Talkedt to Budtender who confirmed buyer and email, I introducted myself 02.13.2",buckley@kush21.com buckleyinventory@kush21.com / 360-761-7540
Kush 21 Burien - (LIVING WELL ENTERPRISES),Burien,R2,At-Risk Active,65,R2 - Active but stale (>90 days). Last contact: 148 days ago. 10.22.2025 - Sent Michale a Text Message to see if he is available to meet next ,inventory@Kush21.com  Michelle@Kush21.com Michelle's Cell #  (425) 208-9394 - Regional Manager / 206-402-6955 - store  Brandon's Cell # (808)276-5261
Kush 21 Everett - Evergreen way     (KUSHMAN),Everett,R2,At-Risk Active,66,R2 - Active but stale (>90 days). Last contact: 387 days ago. Called but Amber was in a meeting with the big guy - will try again later but co,everettevergreeninventory@kush21.com / (425) 512-0182
Kush 21 SODO,Seattle,R2,At-Risk Active,67,R2 - Active but stale (>90 days). Last contact: 169 days ago. ,nicole@kush21.com sodoinventory@kush21.com
LIDZ CANNABIS  South,Spokane,R2,At-Risk Active,68,R2 - Active but stale (>90 days). Last contact: 394 days ago. Emailed Blaine giving him my contact information and inquiring about the Lidz lo,
LIDZ CANNABIS North,Spokane,R2,At-Risk Active,69,R2 - Active but stale (>90 days). Last contact: 394 days ago. Emailed Blaine giving him my contact information and inquiring about the Lidz lo,
LOVING FARMS,Mount Vernon,R2,At-Risk Active,70,R2 - Active but stale (>90 days). Last contact: 241 days ago. Offered 420 special deals and Greenline - NC,lovingfarmsmj@gmail.com / (360) 419-9700
"LUCID AUBURN, 21+ CANNABIS, 21+ MARIJUANA",Auburn,R2,At-Risk Active,71,"R2 - Active but stale (>90 days). Last contact: 240 days ago. Called to discuss missing payments again, Ceara emailed me and will update me wi",vendors@lucidmj.com / 253.249.7730
LUCID PUYALLUP,Puyallup,R2,At-Risk Active,72,"R2 - Active but stale (>90 days). Last contact: 240 days ago. Called to discuss missing payments again, Ceara emailed me and will update me wi",vendors@lucidmj.com / 253.604.7156
Main street Marijuana Downtown,Vancouver,R2,At-Risk Active,73,"R2 - Active but stale (>90 days). Last contact: 262 days ago. Talked to Cade, he is looking for deals and promo specials for the shops to get ",cade@mainstmj.com mitch@mainstmj.com  send delivery/link to this email
MAIN STREET MARIJUANA ORCHARDS,Vancouver,R2,At-Risk Active,74,"R2 - Active but stale (>90 days). Last contact: 262 days ago. Talked to Cade, he is looking for deals and promo specials for the shops to get ",cade@mainstmj.com msmorchards@gmail.com - send delivery/link to this email
MAIN STREET MARIJUANA EAST,Vancouver,R2,At-Risk Active,75,"R2 - Active but stale (>90 days). Last contact: 262 days ago. Talked to Cade, he is looking for deals and promo specials for the shops to get ",cade@mainstmj.com mainstmjeast@gmail.com -send delivery/link to this email / Cell: (360) 839-5057
MAIN STREET MARIJUANA NORTH Hazel Dell,Vancouver,R2,At-Risk Active,76,"R2 - Active but stale (>90 days). Last contact: 262 days ago. Talked to Cade, he is looking for deals and promo specials for the shops to get ",cade@mainstmj.com mainstmjhd@gmail.com - send delivery/link to this email
MARGIES'S POT SHOP,Bingen,R2,At-Risk Active,77,R2 - Active but stale (>90 days). Last contact: Never. ,margiespotshop@gmail.com
MARIJUANA MART,Rochester,R2,At-Risk Active,78,R2 - Active but stale (>90 days). Last contact: 339 days ago. Offered 420 special deals and greenline - NC,shawn@marijuanamartwa.com / (360) 858-7188
Mountain High Cannabis (MHC),Republic,R2,At-Risk Active,79,R2 - Active but stale (>90 days). Last contact: Never. ,mountainhighcannabis420@gmail.com
NATURAL BLESSING CANNABIS,Spanaway,R2,At-Risk Active,80,"R2 - Active but stale (>90 days). Last contact: 400 days ago. Talked with Tamera about the struggle for her to meet our $1000 minimum, I waive",naturalblessing2014@gmail.com / 425-894-6052
NATURE'S GIFTS,Sequim,R2,At-Risk Active,81,R2 - Active but stale (>90 days). Last contact: 338 days ago. Reached out for a restock and sent the menu 02.11.25 Emailed about 420 specials ,vincent@naturesgifts420.com / (360) 797-1993
Nikxna Cannabis,Omak,R2,At-Risk Active,82,R2 - Active but stale (>90 days). Last contact: Never. ,jmacclain.crms@icloud.com tashina.thomas@yahoo.com
NXNW RETAIL LLC / CANNABIS AND GLASS,Liberty Lake,R2,At-Risk Active,83,R2 - Active but stale (>90 days). Last contact: 290 days ago. Reached out to Ryan to see if he was interested in doing business with us. His r,purchasing@cannabisandglass.com ryan@cannabisandglass.com marshall@cannabisandglass.com
NXNW RETAIL LLC/CANNABIS & GLASS,Millwood,R2,At-Risk Active,84,R2 - Active but stale (>90 days). Last contact: 290 days ago. Reached out to Ryan to see if he was interested in doing business with us. His r,purchasing@cannabisandglass.com ryan@cannabisandglass.com marshall@cannabisandglass.com
NXNW RETAIL LLC/CANNABIS & GLASS,Spokane,R2,At-Risk Active,85,R2 - Active but stale (>90 days). Last contact: 290 days ago. Reached out to Ryan to see if he was interested in doing business with us. His r,purchasing@cannabisandglass.com ryan@cannabisandglass.com marshall@cannabisandglass.com / 509.866.4206
OCEAN GREENS,Seattle,R2,At-Risk Active,86,"R2 - Active but stale (>90 days). Last contact: 339 days ago. Emailed him about a restock on flower and oil, sending vendor samples out and wi",og.inventory420@gmail.com / 206-453-4145  julian Hyseni
ORCHARDS CANNABIS MARKET,Vancouver,R2,At-Risk Active,87,R2 - Active but stale (>90 days). Last contact: Never. ,ocmreceiving@c4uwa.com / 360-258-1880
PRC,Arlington,R2,At-Risk Active,88,R2 - Active but stale (>90 days). Last contact: 383 days ago. Emailed Jestyn and Jay introducing myself and giving updated contact information,jgilreath@prcwa.com / (360) 550-9333
PRC,Mount Vernon,R2,At-Risk Active,89,R2 - Active but stale (>90 days). Last contact: 383 days ago. Emailed Jestyn and Jay introducing myself and giving updated contact information,jgilreath@prcwa.com / (360) 445-6221 - cell phone number
PRC Edmonds,Edmonds,R2,At-Risk Active,90,R2 - Active but stale (>90 days). Last contact: 383 days ago. Emailed Jestyn and Jay introducing myself and giving updated contact information,jfloberg@prcwa.com / (425) 967-5800
PRC BOTHELL,Bothell,R2,At-Risk Active,91,R2 - Active but stale (>90 days). Last contact: 383 days ago. Emailed Jestyn and Jay introducing myself and giving updated contact information,jfloberg@prcwa.com / (425) 673-7420
Remedy Tulalip - Tribal,Marysville,R2,At-Risk Active,92,R2 - Active but stale (>90 days). Last contact: 255 days ago. Reached out to Carmen via text to see if he would answer me that way! I have ema,inventory@remedytulalip.com / (360) 716-3200 - Carmens phone (360) 722-1845
SATIVA SISTERS II,Clarkston,R2,At-Risk Active,93,R2 - Active but stale (>90 days). Last contact: 250 days ago. Sent an intro order to th team. Will make sure tofollow up and get samples going,"ben.sativasisters@gmail.com
colton@sativasisters.com
clarkston@sativasisters.com sativasisters1@gmail.com / 509.381.1502"
SAVAGE THC,Clayton,R2,At-Risk Active,94,R2 - Active but stale (>90 days). Last contact: 250 days ago. ,savagethc@gmail.com
SHAWN KEMP'S CANNABIS,Seattle,R2,At-Risk Active,95,R2 - Active but stale (>90 days). Last contact: 378 days ago. Kempscannabis.com/vendor-deliveries.,cade@mainstmj.com inventory@kempscannabis.com
SHAWN KEMP'S CANNABIS SODO,Seattle,R2,At-Risk Active,96,R2 - Active but stale (>90 days). Last contact: 378 days ago. Kempscannabis.com/vendor-deliveries.,cade@mainstmj.com sodo@kempscannabis.com
THE SLOW BURN Moxee,Moxee,R2,At-Risk Active,97,R2 - Active but stale (>90 days). Last contact: 284 days ago. Called and talked to a Manager who confirmed our information is correct.  I alre,april@theslowburn.com / (509) 214-1000
THE SLOW BURN Main st,Union Gap,R2,At-Risk Active,98,R2 - Active but stale (>90 days). Last contact: 284 days ago. Called and talked to a Manager who confirmed our information is correct.  I alre,april@theslowburn.com / (509) 823-4792    another line is (509) 223-4680
THE SLOW BURN Market St,Union Gap,R2,At-Risk Active,99,R2 - Active but stale (>90 days). Last contact: 284 days ago. Called and talked to a Manager who confirmed our information is correct.  I alre,april@theslowburn.com / (509) 452-2787   another line is (509) 223-4680
