retailer,license,city,region,status,confirmed,pipeline_code,pipeline_label,completeness_score,price_tier,last_contacted,has_email,has_phone,has_pricing,has_buyer_name,is_duplicate
4:20 FRIENDLY,413586,Spokane,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-02-28,Yes,Yes,No,No,No
420 CAPITOL,424848,Tumwater,South Sound,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-01-30,Yes,No,Yes,No,No
420 CARPENTER,415083,Lacey,South Sound,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-01-30,Yes,No,Yes,No,No
420 ELMA ON MAIN,426678,Elma,South Sound,Active,true,R2,R2 - Active but stale (>90 days),5,standard,,Yes,Yes,Yes,Yes,No
420 GRAND CENTRAL,428560,Rochester,Other/Unclassified,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-01-30,Yes,No,Yes,No,No
420 WEST,414733,Olympia,South Sound,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-01-30,Yes,No,Yes,No,No
420 HOLIDAY,415526,Longview,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-05,Yes,No,Yes,Yes,No
420 SPOT SHOP - will not do VMI,414550,Port Orchard,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-07-09,Yes,Yes,Yes,Yes,No
A Greener Today Marijuana,422044,Bothell,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-17,Yes,Yes,No,Yes,No
A Greener Today Marijuana - Shoreline,414814,Shoreline,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-10-13,Yes,Yes,No,Yes,No
A Greener Today Marijuana - Lynnwood,422109,Lynnwood,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-19,Yes,Yes,No,Yes,No
A Greener Today Marijuana - Seattle,414441,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-17,Yes,Yes,No,Yes,No
A Greener Today Marijuana - Gold Bar,422168,Gold Bar,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-17,Yes,Yes,No,Yes,No
A Greener Today - Walla Walla,426039,Walla Walla,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),5,unknown,2025-03-17,Yes,Yes,No,Yes,No
Green Leaf Bellingham (ABC AGENCY LLC ),413886,Bellingham,NW Washington,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-02-10,Yes,No,No,Yes,No
ACCESS CANIBUS LLC,422765,Valley,Other/Unclassified,low chance,true,I2,"I2 - Prospect, has notes",6,standard,2025-03-30,Yes,Yes,Yes,Yes,No
Agate Dreams,420278,Poulsbo,Peninsula/Islands,(blank),true,I5,I5 - Near order / has ordered,5,unknown,2025-02-26,Yes,Yes,No,Yes,No
Alkaloid Cannabis - this retailer is now green nugget mead location,420497,Spokane,Eastern WA,(blank),true,I4,I4 - Samples sent,5,unknown,2025-02-21,Yes,Yes,No,Yes,No
ALTITUDE,414225,Prosser,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-09-19,Yes,Yes,Yes,Yes,No
AMERICAN HARVEST,422954,Peshastin,Other/Unclassified,(blank),true,I4,I4 - Samples sent,5,unknown,2025-02-28,Yes,Yes,No,Yes,No
AMERICAN MARY 45th Wallington,410332,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-09-19,Yes,Yes,Yes,Yes,No
AMERICAN MARY CANNABIS  Ballard,420292,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-06-09,Yes,Yes,Yes,Yes,No
Anacortes Cannabis,421652,Anacortes,NW Washington,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-02-21,Yes,Yes,No,No,No
APEX CANNABIS,421110,Moses Lake,Central WA,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-02-12,Yes,Yes,Yes,Yes,No
APEX CANNABIS,422447,Otis Orchards,Other/Unclassified,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-02-12,Yes,Yes,Yes,Yes,No
APEX CANNABIS,425767,Spokane,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-02-12,Yes,Yes,Yes,Yes,No
APEX Market ST CANNABIS (used to be Kush 21 Spokane),422992,Spokane,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-02-13,Yes,Yes,Yes,Yes,No
Apex Cannabis Pullman (Kush 21 Pullman NSK CANNABIS),425584,Pullman,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,7,unknown,2025-02-13,Yes,Yes,Yes,Yes,No
B STREET BUD,414558,Grand Coulee,Eastern WA,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-03-04,No,Yes,No,No,No
BAYSHORE CANNABIS CO,415127,Shelton,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-05-21,Yes,Yes,Yes,Yes,No
BELFAIR CANNABIS COMPANY,422298,Belfair,Other/Unclassified,(blank),true,I4,I4 - Samples sent,7,standard,2025-05-21,Yes,Yes,Yes,Yes,No
BETTER BUDS,430175,Longview,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-05-06,Yes,Yes,Yes,Yes,No
BETTER BUDS,422525,Port Angeles,Peninsula/Islands,(blank),true,I4,I4 - Samples sent,5,premium,2025-03-12,Yes,No,Yes,Yes,No
BETTER BUDS,421709,Port Hadlock,Other/Unclassified,(blank),true,I4,I4 - Samples sent,5,premium,2025-03-12,Yes,No,Yes,Yes,No
BETTER BUDS,425965,Silverdale,Peninsula/Islands,(blank),true,I4,I4 - Samples sent,5,premium,2025-03-12,Yes,No,Yes,Yes,No
BIRCH BAY BUDZ,429761,Blaine,NW Washington,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-05-19,Yes,Yes,Yes,Yes,No
BLOWIN SMOKE,422202,Chewelah,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-03-04,Yes,Yes,No,No,No
BORED N BUZZED,436428,Kirkland,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),5,premium,2025-06-10,Yes,No,Yes,Yes,No
BUD BARN,421335,Olympia,South Sound,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-12,Yes,Yes,No,Yes,No
BUD BARN,428005,Yelm,South Sound,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-12,Yes,Yes,No,Yes,No
BUD COMMANDER,413802,Tumwater,South Sound,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-06-19,Yes,Yes,Yes,Yes,No
BUDEEZ,420661,Bremerton,Peninsula/Islands,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-03-04,Yes,Yes,No,No,No
Bud Hut Friday Harbor - LAWRENCE ENTERPRISES,422332,Friday Harbor,NW Washington,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-04,Yes,Yes,No,Yes,No
BUDHUT,413901,Camano Island,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-06-04,Yes,Yes,Yes,Yes,No
BUDHUT,415504,Everett,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-06-04,Yes,Yes,Yes,Yes,No
BUDHUT,410831,Maple Valley,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,7,standard,2025-06-04,Yes,Yes,Yes,Yes,No
BUDS GARAGE - no friday deliveries,437604,Everett,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-06-04,Yes,Yes,Yes,Yes,No
CANNA WEST SEATTLE,420666,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,4,unknown,2025-02-23,Yes,No,No,Yes,No
CANNA4LIFE,414211,Clarkston,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-03-04,Yes,Yes,Yes,Yes,No
CANNABIS 21 Aberdeen,415567,Aberdeen,Peninsula/Islands,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-02-25,Yes,Yes,No,Yes,No
CANNABIS 21 Hoquiam,353993,Hoquiam,Peninsula/Islands,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-02-25,Yes,Yes,No,Yes,No
CANNABIS 21 Ocean Shores,414712,Hoquiam,Peninsula/Islands,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-02-25,Yes,Yes,No,Yes,No
Cannabis City,412751,Seattle,Seattle Metro,Temp Closed,true,R1,R1 - Temp Closed,5,unknown,2025-03-04,Yes,Yes,No,Yes,No
CANNABIS COAST FORKS,430237,Forks,Peninsula/Islands,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,2025-02-25,Yes,No,No,No,No
CANNABIS COUNTRY STORE,414970,Battle Ground,SW Washington,(blank),true,I4,I4 - Samples sent,5,unknown,2025-03-05,Yes,Yes,No,Yes,No
CANNABIS PROVISIONS EAST,423542,Wenatchee,Central WA,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-03-12,Yes,No,No,Yes,No
CANNABIS PROVISIONS INC.,425585,Shoreline,Seattle Metro,(blank),true,I4,I4 - Samples sent,6,premium,2025-03-12,Yes,Yes,Yes,Yes,No
CANNABIS SUPER STORE,402780,Cle Elum,Central WA,(blank),true,I4,I4 - Samples sent,4,unknown,,Yes,Yes,No,Yes,No
CANNABIZ,87932,Puyallup,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
CANNABLYSS,415575,Lake Stevens,Seattle Metro,Low likelihood,true,I2,"I2 - Prospect, has notes",5,unknown,2025-02-26,Yes,Yes,No,Yes,No
CANNARAIL STATION,413366,Ephrata,Eastern WA,Prospect,true,I4,"I4 - Prospect, samples sent",6,premium,2025-03-30,Yes,Yes,Yes,Yes,No
Cannazone Burlington FOXX ENTERPRISES LLC,436898,Burlington,NW Washington,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,2025-10-10,No,No,No,No,No
CANNAZONE,421813,Bellingham,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),5,premium,2025-10-10,Yes,No,Yes,Yes,No
CANNAZONE,420477,Edmonds,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),5,premium,2025-10-10,Yes,No,Yes,Yes,No
Northwest Cannabis,424599,Mount Vernon,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),5,premium,2025-10-10,Yes,No,Yes,Yes,No
CANNAZONE Old HWY 99,427742,Mount Vernon,NW Washington,(blank),true,I3,I3 - Active dialogue/meeting,5,premium,2025-10-10,Yes,No,Yes,Yes,No
CANNAZONE,430952,North Bend,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",3,premium,2025-10-10,No,No,Yes,No,No
CANNAZONE,350641,Seattle,Seattle Metro,(blank),true,I3,I3 - Active dialogue/meeting,5,premium,2025-10-10,Yes,No,Yes,Yes,No
Cannazone Tacoma (POT ZONE),434030,Tacoma,South Sound,(blank),true,I2,I2 - Contacted/has notes,2,unknown,2025-02-25,Yes,No,No,No,No
CARAVAN CANNABIS COMPANY,435487,Bellingham,NW Washington,(blank),true,I4,I4 - Samples sent,6,standard,2025-03-12,Yes,Yes,Yes,Yes,No
CARAVAN CANNABIS COMPANY,420801,Burlington,NW Washington,(blank),true,I4,I4 - Samples sent,6,standard,2025-03-12,Yes,Yes,Yes,Yes,No
Carters Cannabis,435566,East Wenatchee,Central WA,(blank),true,I4,I4 - Samples sent,4,unknown,,Yes,Yes,No,Yes,No
CASCADE HERB COMPANY,415094,Bellingham,NW Washington,(blank),true,I4,I4 - Samples sent,4,unknown,2025-03-06,Yes,Yes,No,No,No
CASCADE HERB COMPANY,414749,Ferndale,NW Washington,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-03-06,No,Yes,No,No,No
CASCADE HERB COMPANY,,Otis Orchards,Other/Unclassified,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-03-06,No,Yes,No,Yes,No
CASCADE KROPZ,425539,Arlington,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-06,Yes,Yes,Yes,Yes,No
CATHLAMET CANNABIS COMPANY,433034,Cathlamet,SW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,1,unknown,,No,Yes,No,No,No
CHIMACUM CANNABIS,413492,Chimacum,Other/Unclassified,(blank),false,I2,"I2 - Unconfirmed, some contact",1,unknown,2025-03-06,No,No,No,No,No
CINDER,422294,Spokane,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-09-22,Yes,Yes,Yes,Yes,No
CINDER Downtown,423096,Spokane,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-09-22,Yes,Yes,Yes,Yes,No
CINDER,414817,Spokane Valley,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-09-22,Yes,Yes,Yes,Yes,No
Clear Choice Cannabis  72nd,439182,Tacoma,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-02-06,Yes,Yes,Yes,Yes,No
CLEAR CHOICE CANNABIS,421877,Bremerton,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-06-02,Yes,Yes,Yes,Yes,No
CLEAR CHOICE CANNABIS,413358,Tacoma,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-06-02,Yes,Yes,Yes,Yes,No
Cliffs Cannabis,414807,Issaquah,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,4,unknown,,Yes,Yes,No,Yes,No
CLOUD 9,427233,Arlington,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-03-12,Yes,Yes,Yes,Yes,No
CLOUD 9,422504,Cheney,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",4,standard,,Yes,Yes,Yes,Yes,No
CLOUD CANNABIS,414959,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-02-24,Yes,Yes,No,Yes,No
Clutch Cannabis,413803,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-10-14,Yes,Yes,No,Yes,No
Commencement Bay Cannabis - Black,Tacoma,432708,Other/Unclassified,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-24,Yes,Yes,Yes,Yes,No
Commencement Bay Cannabis - Yellow,Fife,424244,Other/Unclassified,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-24,Yes,Yes,Yes,Yes,No
Craft Wenatchee,415645,Wenatchee,Central WA,(blank),true,I4,I4 - Samples sent,4,premium,,Yes,Yes,Yes,No,No
Craft Cannabis,414065,Wenatchee,Central WA,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,2025-02-25,No,No,No,No,No
Craft Cannabis INC,431536,Vancouver,SW Washington,(blank),true,I2,I2 - Contacted/has notes,2,unknown,2025-02-25,Yes,No,No,No,No
Craft Cannabis Mill Plain,413732,Vancouver,SW Washington,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-02-25,Yes,No,No,Yes,No
CRAFT LEAVENWORTH,085059,Dryden,Other/Unclassified,(blank),true,I2,I2 - Contacted/has notes,2,unknown,2025-02-25,Yes,No,No,No,No
Craft Tacoma (was 420 Tacoma),423372,Tacoma,South Sound,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-02-25,Yes,No,No,Yes,No
Cult Cannabis co,413729,Ferndale,NW Washington,Prospect,true,I2,"I2 - Prospect, has notes",6,standard,2025-03-06,Yes,Yes,Yes,Yes,No
Cutie Judys Cannabis Co,432456,Aberdeen,Peninsula/Islands,Prospect,true,I2,"I2 - Prospect, has notes",4,unknown,2025-03-04,Yes,No,No,No,No
DANK OF AMERICA,414539,Bellingham,NW Washington,Prospect,true,I2,"I2 - Prospect, has notes",6,premium,2025-03-06,Yes,Yes,Yes,Yes,No
DANK OF AMERICA,422817,Blaine,NW Washington,Prospect,true,I2,"I2 - Prospect, has notes",6,premium,2025-03-06,Yes,Yes,Yes,Yes,No
Danks Warehouse,412940,Tacoma,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-03-21,Yes,Yes,Yes,Yes,No
DANK'S Warehouse,364799,Edmonds,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-26,Yes,Yes,Yes,Yes,No
Danks Warehouse Renton,417949,Renton,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),5,premium,,Yes,Yes,Yes,Yes,No
Destination hwy 420,414503,Bremerton,Peninsula/Islands,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-11,Yes,Yes,Yes,Yes,No
DIAMOND GREEN,413374,Tacoma,South Sound,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-02-10,Yes,Yes,Yes,Yes,No
Discovery Bay Cannabis,423036,Port Townsend,Peninsula/Islands,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-03-07,No,Yes,No,No,No
DISPO 42,429044,Mukilteo,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-03-07,No,Yes,No,No,No
DOCKSIDE CANNABIS Sodo,414174,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-10-14,Yes,No,No,Yes,No
DOCKSIDE CANNABIS Ballard,424463,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-10-14,Yes,No,No,Yes,No
DOCKSIDE CANNABIS Greenlake,430807,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-10-14,Yes,No,No,Yes,No
Elwha Peaks,430958,Port Angeles,Peninsula/Islands,(blank),true,I4,I4 - Samples sent,6,premium,2025-03-07,Yes,Yes,Yes,Yes,No
Elevation Cannabis (Tribal),434852,Tumwater,South Sound,(blank),true,I2,I2 - Contacted/has notes,5,premium,2025-03-04,Yes,No,Yes,Yes,No
Elevation  (MJ Compact Retail Location),428838,Shelton,South Sound,Active,true,R2,R2 - Active but stale (>90 days),4,premium,,Yes,Yes,Yes,Yes,No
Emerald Coast,437875,Bremerton,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),5,premium,2025-02-13,Yes,No,Yes,Yes,No
EMERALD LEAVES,434372,Tacoma,South Sound,(blank),true,I1,"I1 - Confirmed, cold lead",4,premium,,Yes,Yes,Yes,Yes,No
Euphorium Woodinville,414495,Woodinville,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-02-24,Yes,Yes,No,Yes,No
EUPHORIUM 420 Covington,414491,Covington,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-02-24,Yes,Yes,No,Yes,No
EUPHORIUM 420 Lynnwood,414500,Lynnwood,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-02-24,Yes,Yes,No,Yes,No
EUPHORIUM 420 Vashon,420895,Vashon,Other/Unclassified,(blank),true,I2,I2 - Contacted/has notes,6,unknown,2025-02-24,Yes,Yes,No,Yes,No
EVERGREEN MARKET - AUBURN,414714,Auburn,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
EVERGREEN MARKET - BELLEVUE,426125,Bellevue,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
EVERGREEN MARKET - KIRKLAND,357129,Kirkland,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
EVERGREEN MARKET - NORTH RENTON - is now Stonr Cannabis,413791,Renton,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
EVERGREEN MARKET - RENTON HIGHLANDS,414841,Renton,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
EVERGREEN MARKET - SOUTH RENTON,424747,Renton,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-06-10,Yes,Yes,Yes,Yes,No
Evolve Cannabis,417469,Bellingham,NW Washington,(blank),true,I2,I2 - Contacted/has notes,4,unknown,,Yes,Yes,No,Yes,No
FILLABONG,79720,Bremerton,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-12,Yes,Yes,Yes,Yes,No
FILLABONG,415211,Silverdale,Peninsula/Islands,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-12,Yes,Yes,Yes,Yes,No
FIRE AND FROST CANNABIS,428276,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-11,Yes,Yes,Yes,Yes,No
Fire Cannabis,421738,Omak,Eastern WA,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-19,Yes,Yes,Yes,Yes,No
FIRE CANNABIS CO -,436929,Yakima,Eastern WA,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-19,Yes,Yes,Yes,Yes,No
Fireweed Cananbis Co,436598,Snoqualmie,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",4,unknown,,Yes,No,Yes,Yes,No
Floyds Port Angeles,414223,Port Angeles,Peninsula/Islands,(blank),true,I5,I5 - Near order / has ordered,4,premium,,No,Yes,Yes,Yes,No
FLOYD'S CANNABIS COMPANY,422055,Pullman,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-06-10,Yes,Yes,Yes,Yes,No
FLOYDS Everett,414680,Everett,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-06-10,Yes,Yes,Yes,Yes,No
FLOYDS Sedro Woolley,422049,Sedro Woolley,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-06-10,Yes,Yes,Yes,Yes,No
Floyds  BURLINGTON,413533,Burlington,NW Washington,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-06-10,Yes,Yes,Yes,Yes,No
Floyds Mt Vernon,422796,Mount Vernon,NW Washington,(blank),true,I1,"I1 - Confirmed, cold lead",4,premium,,Yes,Yes,Yes,No,No
Forbidden Cannabis Club Mount Vernon,422913,Mount Vernon,NW Washington,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-03-06,Yes,Yes,Yes,Yes,No
FORBIDDEN CANNABIS CLUB OLYMPIA,421632,Olympia,South Sound,(blank),true,I2,I2 - Contacted/has notes,7,standard,2025-02-19,Yes,Yes,Yes,Yes,No
FORBIDDEN CANNABIS CLUB SEATTLE,413809,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-03-11,Yes,Yes,Yes,Yes,No
FORBIDDEN CANNABIS SUPER CHRONIC,425185,Lacey,South Sound,(blank),true,I2,I2 - Contacted/has notes,7,standard,2025-03-13,Yes,Yes,Yes,Yes,No
FORBIDDEN CANNABIS CLUB,422785,Carson,Other/Unclassified,(blank),true,I5,I5 - Near order / has ordered,7,standard,2025-03-13,Yes,Yes,Yes,Yes,No
Forbidden Cannabis Club,432498,Okanogan,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-02-20,Yes,Yes,Yes,Yes,No
Freedom Market,414280,Kelso,SW Washington,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-03-12,Yes,Yes,No,Yes,No
Freedom market Cathlamet corp,422459,Cathlamet,SW Washington,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-03-12,Yes,Yes,No,Yes,No
FREEDOM MARKET ILWACO,421757,Ilwaco,SW Washington,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-03-12,Yes,Yes,No,No,No
Freeland Cannabis Co,422777,Freeland,NW Washington,(blank),true,I4,I4 - Samples sent,3,unknown,,No,Yes,No,Yes,No
Fresh Greens,413530,Winthrop,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",2,unknown,,Yes,Yes,No,No,No
Frosted Cannabis - SPRAGUE,436837,Spokane,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",2,unknown,,Yes,Yes,No,No,No
Fweedom Cannabis,415031,Mountlake Terrace,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
Fweedom Cannabis,412922,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,4,unknown,,Yes,Yes,No,Yes,No
GALAXY 21,421695,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
Galaxy Cannabis  - SUNLEAF CANNABIS,434220,Lynnwood,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-01-28,Yes,Yes,Yes,Yes,No
Galaxy Cannabis,415234,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,1,unknown,,No,Yes,No,No,No
GANJA VITA,415539,Belfair,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,1,unknown,,No,Yes,No,No,No
GOLDEN DISPENSARIES,414292,Goldendale,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-02-10,Yes,Yes,Yes,Yes,No
GOOBIE'S DOOBIES,431222,Maple Valley,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,7,standard,2025-04-02,Yes,Yes,Yes,Yes,No
Good Buds,415294,Quincy,Central WA,(blank),true,I1,"I1 - Confirmed, cold lead",2,unknown,,Yes,Yes,No,No,No
GREEN DREAMS,421642,Snohomish,Seattle Metro,(blank),true,I4,I4 - Samples sent,6,premium,2025-02-24,Yes,Yes,Yes,Yes,No
Greenfoot Cannabis,431005,Olympia,South Sound,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
