Status,Confirmed:,Last Contacted:,Retailers:,License #,City:,Contact Buyer:,Phone Number:,Email: ,Delivery window:, Notes:,Price Points:
Active,TRUE,05.05.25,420 HOLIDAY,415526,LONGVIEW,Matt is the buyer ,, 420holidaylongview@gmail.com,call ahead if after 4pm - they take orders monday - Friday - they will do weekends but it needs to be scheduled,"Talked to Vern who is the new buyer, he wanted the sale price since the customers were used to that pricing, i gave it to him with the infused 8pk price I had given Matt. He was happy NC",$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  $10 on infused 8pk pre rolls
Active,TRUE,07.09.25,420 SPOT SHOP - will not do VMI ,414550,PORT ORCHARD,DeLynn is the buyer,(360) 340-5966 Personal Cell #,420spotshop@gmail.com,Monday through Friday 8am until 6pm and they woudl apprectiate mornings if we can.,We are doing 20% off and they are putting us on sale every Wednesday,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ 20% off every order.
,TRUE,03/17/25,A Greener Today Marijuana,422044,Bothell ,Sean,425-419-4161,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",
,TRUE,10/13/25,A Greener Today Marijuana - Shoreline,414814,Shoreline,Kenny Du,206-801-7756,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"10.13.25 - Emailed Kenny at A Greener Today to see if I can lock in a meeting next week. 

Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",
,TRUE,03/19/25,A Greener Today Marijuana - Lynnwood,422109,Lynnwood,Sean,425-678-8106,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",
,TRUE,03/17/25,A Greener Today Marijuana - Seattle,414441,Seattle,Kenny Du,206-687-7877,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",
,TRUE,03/17/25,A Greener Today Marijuana - Gold Bar,422168,Gold Bar,Sean - Buyer,360-217-8905,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",
Active,TRUE,03/17/25,A Greener Today - Walla Walla,426039,Walla Walla,Sean,509-876-8660,purchasing@agreenertoday.com Kenny@agreenertoday.com,,"Talked with Kenny, he let me know it was not a good fit for the shops at this time and tokeep him updated with changes and to circle back in a few months. I will stay on top of this and get samples out to the shops. - WL waiting on sales samples for the shops. - WL",
,TRUE,02.10.25,Green Leaf Bellingham (ABC AGENCY LLC ),413886,BELLINGHAM,Eric is the buyer - inventory@abcagencyllc.com,,inventory@abcagencyllc.com,,This is the second location to Birch Bay Budz - Emailed Eric to give him updated account information 02.10.25,
low chance,TRUE,03.30.25,ACCESS CANIBUS LLC,422765,VALLEY,Raeyne is the buyer,(509) 937-4900,accesscanibus@gmail.com,,"Had a great conversation with Raeyne today, I am putting together a small starter order for her to approve and gave her 420 pricing on the 3.5gs. Then her pricing will be in the $9 price point. 03.30.25 NC  she emailed me back saying the owners would not approve the order and are not looking for any new vendors at this time 03.30.25 NC",$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/ - all concentrates $8.00
,TRUE,02.26.25,Agate Dreams,420278,Poulsbo,Robert Adams -Buyer - Cell # 360-516-2856,360-598-1315,robertadams@tokemcannabis.com Invoices@agatedreams.com,,Emailed Robert to see about getting some orders going. New Menu and contact infomration. - WL,
,TRUE,2.21.25,Alkaloid Cannabis - this retailer is now green nugget mead location,420497,SPOKANE,Tyler,(509) 465-1197,purchasing@alkaloidmj.com,,"Sent an email to Tyler with new contact, menu nd updates. Will work on samples and follow up asap - WL",
Active,TRUE,09.19.25,ALTITUDE,414225,PROSSER,Maricruz is the buyer - Rachelle.f is the GM,509-786-4200 - store,  purchasing.altitudemj@gmail.com,,Emailed Maricruz with account manager contacts 02.07.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board
,TRUE,02.28.25,AMERICAN HARVEST,422954,PESHASTIN,Kyle is the buyer,(509) 470-9449,info@americanharvestcannabis.com,,"Talked to a budtender who gave me the updated contact info, I will email Kyle a request to send samples 02.28.25",
Active,TRUE,09.19.25,AMERICAN MARY 45th Wallington,410332,SEATTLE,Tony is the buyer,(206) 547-7833 - store,wallingford@americanmarywa.com,,"Emailed Tony about some samples that I woud like to send over, he placed an order and I will send those samples. NC 06.09.25",$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  
,TRUE,06.09.25,AMERICAN MARY CANNABIS  Ballard,420292,SEATTLE,Tony is the buyer,(206) 535-7209 - store,Ballard@americanmarywa.com,,"Talked to a budtender who confirmed that the buyer contacts are still the same 02.14.25, I emailed over my contact info 02.14.25",$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  
,TRUE,2.21.25,Anacortes Cannabis,421652,Anacortes,,(360) 588 - 6222,anacortesnaturalmedicine@gmail.com,,"Sent an itro email with updates, menu. - WL",
Active,TRUE,02.12.25,APEX CANNABIS ,421110,MOSES LAKE,Amarae Hagood is the manager,(509) 765-4216,Nikala@kush21.com Michelle@kush21.com,https://apexcannabis.simplybook.me/v2/).,,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/  All budlets $22.50 14gs and $45 28g
,TRUE,02.12.25,APEX CANNABIS ,422447,OTIS ORCHARDS,Nikki and Michelle are the buyer ,(509) 922-9235,Nikala@kush21.com Michelle@kush21.com,https://apexcannabis.simplybook.me/v2/).,,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/  All budlets $22.50 14gs and $45 28g
,TRUE,02.12.25,APEX CANNABIS ,425767,SPOKANE,Nikki and Michelle are the buyer ,(509) 443-4654,Nikala@kush21.com Michelle@kush21.com,https://apexcannabis.simplybook.me/v2/).,,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/  All budlets $22.50 14gs and $45 28g
,TRUE,02.13.25,APEX Market ST CANNABIS (used to be Kush 21 Spokane),422992,SPOKANE,Rylan Parmenter - store manager,360.966.6466, Manager's email: marketstreet@apexcannabis.com  Inventory's Email:  marketstreetinventory@apexcannabis.com ,https://apexcannabis.simplybook.me/v2/).,,$2.50 1g/ $8.00- 3.5g/ $32 - 14g/ $64-28g/ $8 on all concentrates All budlets $22.50 14gs and $45 28g
,TRUE,02.13.25,Apex Cannabis Pullman (Kush 21 Pullman NSK CANNABIS),425584,PULLMAN,"Maria Sanchez is the buyer/Store Manager, Meghan Henry is the Inventory Manager",(509) 339-7071 - Store. Meghan cell # (512) 970-7367  Maria Cell # (509)306-8950 Best way to get ahold of her,pullman@kush21.com,https://apexcannabis.simplybook.me/v2/).,Talked to Meghan and she gave me all the updated information  - store manager/buyer and inventory manager - she said cell #s are the best way to get ahold of them if I need something. 02.13.25,$2.50 1g/ $8.00- 3.5g/ $32 - 14g/ $64-28g/ $8 on all concentrates All budlets $22.50 14gs and $45 28g
,FALSE,03.04.25,B STREET BUD,414558,GRAND COULEE,,(509) 592-9334,,,called but no one answered the phone 03.04.25,
Active,TRUE,05.21.25,BAYSHORE CANNABIS CO,415127,SHELTON,Dan Rivera is the buyer -Personal Cell #   360-972-5540 Olivia is another buyer,(360) 426-0675, buyer@bayshorecannabis.com,"DELIVERY TIMES: TUESDAY-THURSDAY, 12 PM - 5 PM",Eamailed Dan with an offer to put everything on sale to get it out of the store and lowered his pricing to $8 for all 4 stores - we also offered to send buybacks on a regular basis for the crew and trade samples. NC ,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/ 
,TRUE,05.21.25,BELFAIR CANNABIS COMPANY,422298,BELFAIR,Dan Rivera is the buyer -Personal Cell #   360-972-5540 Olivia is another buyer,(360) 277-4236, buyer@bayshorecannabis.com,"DELIVERY TIMES: TUESDAY-THURSDAY, 12 PM - 5 PM",Eamailed Dan with an offer to put everything on sale to get it out of the store and lowered his pricing to $8 for all 4 stores - we also offered to send buybacks on a regular basis for the crew and trade samples. NC ,$2.50-1g /$8.00 - 3.5g/ $32- 14g/ $64 - 28g/ 
Active,TRUE,05.06.25,BETTER BUDS,430175,LONGVIEW,"Sean is the buyer, John is the owner ",(360) 703-3791, betterbudslongview@gmail.com,,Talked Sean about adding Greenline to the 10% off right now along with Fireline Sundays. He is thrilled to make this happen. NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline
,TRUE,03.12.25,BETTER BUDS,422525,PORT ANGELES,Keith,,betterbuds7@gmail.com,,"Sent an email to the team with new contact, menu nd updates. Will work on samples and follow up asap - WL",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline
,TRUE,03.12.25,BETTER BUDS,421709,PORT HADLOCK,Seth,,betterbuds7@gmail.com,,"Sent an email to the team with new contact, menu nd updates. Will work on samples and follow up asap - WL",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline
,TRUE,03.12.25,BETTER BUDS,425965,SILVERDALE,Shawn,,betterbuds7@gmail.com,,"Sent an email to the team with new contact, menu nd updates. Will work on samples and follow up asap - WL",$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board - 10% off every order for FireLine Fridays deal and Greenline
,TRUE,05.19.25,BIRCH BAY BUDZ,429761,BLAINE,Eric is the buyer,(360) 506-7117,Sales@birchbaybud.com,,Reached out to Eric about possilby doing a blow out sale and putting everything 40% off to get it out. We would credit the discount and hopefully get him new product in both stores 05.19.25 NC,$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  
,TRUE,03.04.25,BLOWIN SMOKE,422202,CHEWELAH,,(509) 935-7420 - this phone number is disconnected,herbalescents@gmail.com,,The phone number in google is disconnected 03.04.25,
Active,TRUE,06.10.25,BORED N BUZZED,436428,KIRKLAND,Jeff Meyer,,Boredandbuzzedjeff@gmail.com,,This used to be the old Starbuds Kirkland 03.04.25 - first order placed 06.10.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ 
,TRUE,03.12.25,BUD BARN,421335,OLYMPIA,Jeff,(360) 515-0258,vendors@budbarnyelm.net,,"Sent an email to Jeff with new contact, menu nd updates. Will work on samples and follow up asap - WL",
,TRUE,03.12.25,BUD BARN,428005,YELM,Jeff,(360) 960-1220,vendors@budbarnyelm.net,,"Sent an email to Jeff with new contact, menu nd updates. Will work on samples and follow up asap - WL",
,TRUE,06.19.25,BUD COMMANDER,413802,TUMWATER,Jake is the buyer,(360) 688-1709,Ibuy@budcommander.com,,Talked to the budtender who gave me the updated contact info for the store and would love some samples 03.04.25 - offered to do 40% off blow out sale to get the first order out of the store and credit for another order with lowered pricing. NC 06.19.25,$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  
,TRUE,03.04.25,BUDEEZ,420661,BREMERTON,,(360) 627-7674,Budeez.Orders@gmail.com,,"Called but no one answered, try back  03.04.25",
,TRUE,03.04.25,Bud Hut Friday Harbor - LAWRENCE ENTERPRISES,422332,FRIDAY HARBOR,Ian Carnell is the buyer,(360) 317-1417,Ian@budhut.net,,"Called and got the new buyer information, they would love samples so I will get those ready and scheudeld for delivery 03.04.25 - being delivered 03.07.25",
Active,TRUE,06.04.25,BUDHUT,413901,CAMANO ISLAND,Kimberly is the buyer ,360.629.3480,kimberly@budhut.net,,Emailed Kimberly with new account manager information 02.10.25,$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/
Active,TRUE,06.04.25,BUDHUT,415504,EVERETT,Heather is the buyer,425.353.1449, heather@budhut.net,,"Emailed Beth with the updated contact info since she is acting GM for all bud hut locations and will touch base with each account seperately! - Emailed Heather my updated contact info 02.11.25 Heather is sweet, she has followed us since 2016 - she loves the skatalite - she would love more educational stuff and tons of vendor days when we start offering that.",$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/
,TRUE,06.04.25,BUDHUT,410831,MAPLE VALLEY,Misty is the buyer Bryce is the store manager,425.584.7435, misty@budhut.net Bryce@budnut.net   ACCOUNTANT@BUDHUT.NET,Delivery hours are M-F 7:30-4  No deliveries the first week of every month,"Called and talked to Matt a budender who confirmed the buyer info and gave me the store manager info as well. When emailing them, please include both people 02.14.25 Emailed with my updated contact info 02.14.25",$2.50-1g /$9.00 - 3.5g/ $36 - 14g/ $72.00 - 28g/
Active,TRUE,06.04.25,BUDS GARAGE - no friday deliveries,437604,EVERETT,Bo Lamb is the buyer,(425) 321-7740,icc@budsgarage.com,,Reacheed out to Bo about how the product is sellng and if they are interested in a possibly vendor day. Reached out to Bo to schedule a vendor day asap 02.12.25 We are in communication with scheduling a vendor day right now 02.14.25 - Check in every 2 weeks and get a inventory list to see what they have and if they need a restock. 06.18.25,$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/  - all concentrates $8.00
,TRUE,2.23.25,CANNA WEST SEATTLE,420666,SEATTLE,Amir is the buyer,,amir@cannaws.com,,"Sent an email to Amir with new contact, menu nd updates. Will work on samples and follow up asap - WL",
,TRUE,3.4.25,CANNA4LIFE,414211,CLARKSTON,Veronica is the Buyer and General Manager,(509) 295-8218,"robincanna4life@gmail.com
veronicacanna4life@gmail.com dave@canna4life@gmail.com",,sent samples 01.24.25 - I am trying to get feedback from Veronica about how the samples are and if can get an order going very soon. Reached out to Veronica with price pt adjustment  and sample feedback. 02.12.25 Followed up with current menu. - WL,$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/  - all concentrates $8.00
,TRUE,2.25.25,CANNABIS 21 Aberdeen,415567,ABERDEEN,Adam is the buyer,(360)637-9282,Adam@cannabis21.com,,Sent Adam an email with menus and contact information. Will work to get him on the phone today. - WL,
,TRUE,2.25.25,CANNABIS 21 Hoquiam,353993,HOQUIAM,Adam is the buyer,(360)612-3817,Adam@cannabis21.com,,Sent Adam an email with menus and contact information. Will work to get him on the phone today. - WL,
,TRUE,2.25.25,CANNABIS 21 Ocean Shores,414712,HOQUIAM,Adam is the buyer,(360)289-0170,Adam@cannabis21.com,,Sent Adam an email with menus and contact information. Will work to get him on the phone today. - WL,
Temp Closed,TRUE,03.04.25,Cannabis City,412751,Seattle,ALAN,206-420-4206,buyer@cannabis.city,,last order -10.26.20 - got updated buyer information - 11.16.22,
,FALSE,2.25.25,CANNABIS COAST FORKS,430237,FORKS,,,cancoastforks@gmail.com,,,
,TRUE,03.05.25,CANNABIS COUNTRY STORE,414970,BATTLE GROUND,Emy,360.723.0073,emy@c4uwa.com ,,"Reached out to see if we could send samples, Emy said yes so we are sending samples now 03.5.25 CCSreceiving@c4uwa.com  for manifests",
,TRUE,03.12.25,CANNABIS PROVISIONS EAST,423542,WENATCHEE,Dzung Nguyen,,cannabisprovisionsinc@gmail.com,,last ordered 7.30.20,
,TRUE,03.12.25,CANNABIS PROVISIONS INC.,425585,SHORELINE,Josh is he buyer ,206-629-5235,Josh is he buyer - cannabisprovisionsinc@gmail.com CannaProcurement@gmail.com,,Emailed Josh a sample request and my updated my account manager contact information 02.10.25,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board
,TRUE,,CANNABIS SUPER STORE,402780,CLE ELUM,Beata Crombie is the buyer,509.674.5356,sales@mycannabissuperstore.com  scott@mycannabissuperstore.com,,Emailed that we are sending samples,
,FALSE,,CANNABIZ,87932,PUYALLUP,,,,,,
Low likelihood,TRUE,02.26.25,CANNABLYSS,415575,LAKE STEVENS,Lisa is the buyer,(425) 327-7529,cannablysslakestevens@gmail.com,,called Lisa she said they still have product and are not interested in ordering more. will not lower pricing not interested in a vendor day. They can not compete with The Vault locations,
Prospect,TRUE,03.30.25,CANNARAIL STATION,413366,EPHRATA,April is the buyer -,(509) 754-1047,DSMC@conversionc.net,,Talked to a lovely budtender who confirmed the buyer and email - we are sending samples right away. 02.26.25 - they are not taking any new clients right not but would like another round of samples in 3 months. NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board
,FALSE,10.10.25,Cannazone Burlington FOXX ENTERPRISES LLC,436898,BURLINGTON,,,,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. ",
Active,TRUE,10.10.25,CANNAZONE,421813,BELLINGHAM,Fouad is the buyer/Owner,,"cannazonebellingham@gmail.com
",,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20"
Active,TRUE,10.10.25,CANNAZONE,420477,EDMONDS,Fouad is the buyer/Owner,,cannazoneedmonds@gmail.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20"
Active,TRUE,10.10.25,Northwest Cannabis ,424599,MOUNT VERNON,Francisco Gonzalez,,nwdispensary@gmail.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20"
,TRUE,10.10.25,CANNAZONE Old HWY 99,427742,MOUNT VERNON,Ryan or ashton,,vendors@cannazone.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20"
,FALSE,10.10.25,CANNAZONE,430952,NORTH BEND,,,,,"Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20"
,TRUE,10.10.25,CANNAZONE,350641,SEATTLE,Fouad is the buyer/Owner,,cannazoneseattle@gmail.com,,"10.10.25 - Called Fouad, No Answer. Went to VM. Texted Fouad and he is having Thanksgiving in Canada. Told him to hit me up this week so we can make some deals. Working to get a meeting with the Owner Fouad. He has been out the country, have a call this week lined up to see what we can do for all shops. - WL","$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ - Take 20% off whole order,  Concentrates $7.00, Greenline ozs $33.33, 14gs - $20"
,TRUE,2.25.25,Cannazone Tacoma (POT ZONE),434030,TACOMA,,,potzoneorders@gmail.com,,,
,TRUE,03.12.25,CARAVAN CANNABIS COMPANY,435487,BELLINGHAM,Lindsey is the buyer,(360) 392-8749,Caravanpurchasing@gmail.com,,"Called and talked to the manager who would love samples, I will get those ready for them. I will also email with welcome letter and menu link 03.12.25",$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/ 
,TRUE,03.12.25,CARAVAN CANNABIS COMPANY,420801,BURLINGTON,Timbre is the buyer,(360) 755-0755,Caravanpurchasing@gmail.com,,"Called and talked to the manager who would love samples, I will get those ready for them. I will also email with welcome letter and menu link 03.12.25",$2.50-1g /$9 - 3.5g/ $36 - 14g/ $72 - 28g/ 
,TRUE,,Carters Cannabis,435566,East Wenatchee,Michael is the buyer,360-799-9297 - cell#  Store # (509) 201-0053,info@carterscannabis.com,,Emailed me with a request to get some samples of just a couple skus for his budtenders to try out. I will get those put together right away ,
,TRUE,3.06.25,CASCADE HERB COMPANY,415094,BELLINGHAM,,(360)778-2357 (360)927-9255,buyer.cascadeherb@gmail.com   cascadeherb@gmail.com,,"Justin-Owner Mackenzie-Mgr- sent a sample request for all locations, waiting on a response 02.07.25",
,FALSE,3.06.25,CASCADE HERB COMPANY,414749,FERNDALE,,360.306.8041,,,last ordered ,
,FALSE,3.06.25,CASCADE HERB COMPANY,,OTIS ORCHARDS,Eric,509.927.9333,,,,
Active,TRUE,02.06.25,CASCADE KROPZ,425539,ARLINGTON,Jim is the Owner,Call his cell before you call the store 425-232-8054, cascadekropzorders@gmail.com,,"I talked with Jim, he would like to start  a hometown box with 4 of our strains and will keep me posted on how it is going 02.06.25",$3.00-1g /$10.00 - 3.5g/ $30 - 14g/ $60 - 28g - his home town box 3.5gs are $8.33 - wax is 3.33
,FALSE,,CATHLAMET CANNABIS COMPANY,433034,CATHLAMET,,(360) 795-2029,,,,
,FALSE,3.06.25,CHIMACUM CANNABIS,413492,CHIMACUM,,,,,,
